TimePassed        ,Percentage
0.5554029941558838,0.0000 %
0.6861329078674316,0.0061 %
0.8215897083282471,0.0122 %
0.9542708396911621,0.0183 %
1.0914218425750732,0.0244 %
1.230374813079834 ,0.0305 %
1.3640336990356445,0.0366 %
1.5023128986358643,0.0427 %
1.647040605545044 ,0.0488 %
1.7812488079071045,0.0549 %
1.9181478023529053,0.0610 %
2.0538618564605713,0.0671 %
2.1907618045806885,0.0732 %
2.3227157592773438,0.0793 %
2.45885968208313  ,0.0854 %
2.59108567237854  ,0.0916 %
2.726545810699463 ,0.0977 %
2.8590259552001953,0.1038 %
2.9970576763153076,0.1099 %
3.1286118030548096,0.1160 %
3.263256788253784 ,0.1221 %
3.3966829776763916,0.1282 %
3.5331428050994873,0.1343 %
3.663712739944458 ,0.1404 %
3.798520803451538 ,0.1465 %
3.9323248863220215,0.1526 %
4.06744384765625  ,0.1587 %
4.198636770248413 ,0.1648 %
4.334481954574585 ,0.1709 %
4.468090772628784 ,0.1770 %
4.603511810302734 ,0.1831 %
4.738630771636963 ,0.1892 %
4.876678943634033 ,0.1953 %
5.013359785079956 ,0.2014 %
5.152245998382568 ,0.2075 %
5.283402919769287 ,0.2136 %
5.418444633483887 ,0.2197 %
5.552367925643921 ,0.2258 %
5.686962842941284 ,0.2319 %
5.819755792617798 ,0.2380 %
5.955343723297119 ,0.2441 %
6.087945938110352 ,0.2502 %
6.223282814025879 ,0.2563 %
6.356871843338013 ,0.2625 %
6.492553949356079 ,0.2686 %
6.6384477615356445,0.2747 %
6.774677753448486 ,0.2808 %
6.906784772872925 ,0.2869 %
7.041122674942017 ,0.2930 %
7.172948837280273 ,0.2991 %
7.308305740356445 ,0.3052 %
7.440189838409424 ,0.3113 %
7.5744829177856445,0.3174 %
7.7066357135772705,0.3235 %
7.845536708831787 ,0.3296 %
7.975257873535156 ,0.3357 %
8.108072996139526 ,0.3418 %
8.238358736038208 ,0.3479 %
8.371893882751465 ,0.3540 %
8.50295090675354  ,0.3601 %
8.635247707366943 ,0.3662 %
8.778038740158081 ,0.3723 %
8.916103839874268 ,0.3784 %
9.051316022872925 ,0.3845 %
9.189052820205688 ,0.3906 %
9.321772813796997 ,0.3967 %
9.457404851913452 ,0.4028 %
9.589722871780396 ,0.4089 %
9.724528789520264 ,0.4150 %
9.858720779418945 ,0.4211 %
9.99469780921936  ,0.4272 %
10.130350828170776,0.4333 %
10.265645742416382,0.4395 %
10.398317813873291,0.4456 %
10.53506875038147 ,0.4517 %
10.666802883148193,0.4578 %
10.801918983459473,0.4639 %
10.937797784805298,0.4700 %
11.072009801864624,0.4761 %
11.20423674583435 ,0.4822 %
11.342758893966675,0.4883 %
11.475735664367676,0.4944 %
11.61057162284851 ,0.5005 %
11.744984865188599,0.5066 %
11.88052773475647 ,0.5127 %
12.014973878860474,0.5188 %
12.152702808380127,0.5249 %
12.28689694404602 ,0.5310 %
12.426858901977539,0.5371 %
12.561620950698853,0.5432 %
12.697659730911255,0.5493 %
12.831307649612427,0.5554 %
12.966955661773682,0.5615 %
13.099926710128784,0.5676 %
