Time Passed         ,Percentage
0.012721776962280273,0.000000000 %
0.016101837158203125,0.052083333 %
0.019514083862304688,0.104166667 %
0.02308201789855957 ,0.156250000 %
0.026731014251708984,0.208333333 %
0.030213117599487305,0.260416667 %
0.033677101135253906,0.312500000 %
0.03708314895629883 ,0.364583333 %
0.040741920471191406,0.416666667 %
0.04423093795776367 ,0.468750000 %
0.04768514633178711 ,0.520833333 %
0.05115389823913574 ,0.572916667 %
0.05461597442626953 ,0.625000000 %
0.05820322036743164 ,0.677083333 %
0.06186699867248535 ,0.729166667 %
0.06573009490966797 ,0.781250000 %
0.0693809986114502  ,0.833333333 %
0.07307291030883789 ,0.885416667 %
0.07666707038879395 ,0.937500000 %
0.08021807670593262 ,0.989583333 %
0.0838468074798584  ,1.041666667 %
0.08739304542541504 ,1.093750000 %
0.0908961296081543  ,1.145833333 %
0.0944209098815918  ,1.197916667 %
0.09789204597473145 ,1.250000000 %
0.10141396522521973 ,1.302083333 %
0.10492706298828125 ,1.354166667 %
0.10844588279724121 ,1.406250000 %
0.111968994140625   ,1.458333333 %
0.11549806594848633 ,1.510416667 %
0.11901092529296875 ,1.562500000 %
0.1225290298461914  ,1.614583333 %
0.1260690689086914  ,1.666666667 %
0.12958478927612305 ,1.718750000 %
0.13306903839111328 ,1.770833333 %
0.13660097122192383 ,1.822916667 %
0.14011096954345703 ,1.875000000 %
0.14368295669555664 ,1.927083333 %
0.14725399017333984 ,1.979166667 %
0.15068483352661133 ,2.031250000 %
0.15418696403503418 ,2.083333333 %
0.15761303901672363 ,2.135416667 %
0.16101503372192383 ,2.187500000 %
0.1645219326019287  ,2.239583333 %
0.16794896125793457 ,2.291666667 %
0.17139601707458496 ,2.343750000 %
0.17479801177978516 ,2.395833333 %
0.17821383476257324 ,2.447916667 %
0.18165087699890137 ,2.500000000 %
0.18512892723083496 ,2.552083333 %
0.18853998184204102 ,2.604166667 %
0.1919548511505127  ,2.656250000 %
0.19537782669067383 ,2.708333333 %
0.19876980781555176 ,2.760416667 %
0.20215606689453125 ,2.812500000 %
0.2059190273284912  ,2.864583333 %
0.2093338966369629  ,2.916666667 %
0.21297788619995117 ,2.968750000 %
0.21645689010620117 ,3.020833333 %
0.2198929786682129  ,3.072916667 %
0.22332382202148438 ,3.125000000 %
0.2268199920654297  ,3.177083333 %
0.23021578788757324 ,3.229166667 %
0.2336750030517578  ,3.281250000 %
0.23707199096679688 ,3.333333333 %
0.2405838966369629  ,3.385416667 %
0.24398207664489746 ,3.437500000 %
0.24737191200256348 ,3.489583333 %
0.25081491470336914 ,3.541666667 %
0.2542259693145752  ,3.593750000 %
0.25765395164489746 ,3.645833333 %
0.2610459327697754  ,3.697916667 %
0.26462793350219727 ,3.750000000 %
0.26826000213623047 ,3.802083333 %
0.2720479965209961  ,3.854166667 %
0.2760429382324219  ,3.906250000 %
0.27973508834838867 ,3.958333333 %
0.28351402282714844 ,4.010416667 %
0.2870810031890869  ,4.062500000 %
0.29062390327453613 ,4.114583333 %
0.2941927909851074  ,4.166666667 %
0.2980649471282959  ,4.218750000 %
0.3016541004180908  ,4.270833333 %
0.30512094497680664 ,4.322916667 %
0.30890583992004395 ,4.375000000 %
0.3125879764556885  ,4.427083333 %
0.31616902351379395 ,4.479166667 %
0.31983089447021484 ,4.531250000 %
0.3235020637512207  ,4.583333333 %
0.3270080089569092  ,4.635416667 %
0.33068299293518066 ,4.687500000 %
0.3348519802093506  ,4.739583333 %
0.3383779525756836  ,4.791666667 %
0.34186291694641113 ,4.843750000 %
0.3455379009246826  ,4.895833333 %
0.3493020534515381  ,4.947916667 %
0.3528308868408203  ,5.000000000 %
0.3563530445098877  ,5.052083333 %
0.3599967956542969  ,5.104166667 %
0.36397695541381836 ,5.156250000 %
0.36754298210144043 ,5.208333333 %
0.3710949420928955  ,5.260416667 %
0.37462592124938965 ,5.312500000 %
0.37820887565612793 ,5.364583333 %
0.3818511962890625  ,5.416666667 %
0.385498046875      ,5.468750000 %
0.38913607597351074 ,5.520833333 %
0.39275479316711426 ,5.572916667 %
0.3964657783508301  ,5.625000000 %
0.40010690689086914 ,5.677083333 %
0.40384507179260254 ,5.729166667 %
0.4075300693511963  ,5.781250000 %
0.411160945892334   ,5.833333333 %
0.4148530960083008  ,5.885416667 %
0.41849803924560547 ,5.937500000 %
0.42218899726867676 ,5.989583333 %
0.42586207389831543 ,6.041666667 %
0.42963194847106934 ,6.093750000 %
0.4333219528198242  ,6.145833333 %
0.43708205223083496 ,6.197916667 %
0.4408271312713623  ,6.250000000 %
0.4447810649871826  ,6.302083333 %
0.4488089084625244  ,6.354166667 %
0.4526500701904297  ,6.406250000 %
0.45650410652160645 ,6.458333333 %
0.4603090286254883  ,6.510416667 %
0.46408605575561523 ,6.562500000 %
0.46789097785949707 ,6.614583333 %
0.4717428684234619  ,6.666666667 %
0.4758269786834717  ,6.718750000 %
0.4800240993499756  ,6.770833333 %
0.4843168258666992  ,6.822916667 %
0.48853611946105957 ,6.875000000 %
0.49285101890563965 ,6.927083333 %
0.49707698822021484 ,6.979166667 %
0.5010569095611572  ,7.031250000 %
0.5054440498352051  ,7.083333333 %
0.5095319747924805  ,7.135416667 %
0.5138459205627441  ,7.187500000 %
0.5182640552520752  ,7.239583333 %
0.5223219394683838  ,7.291666667 %
0.5264079570770264  ,7.343750000 %
0.5308668613433838  ,7.395833333 %
0.5349738597869873  ,7.447916667 %
0.5390908718109131  ,7.500000000 %
0.5434198379516602  ,7.552083333 %
0.5478060245513916  ,7.604166667 %
