TimePassed          ,Percentage
0.002665996551513672,0.0000 %
0.008114099502563477,0.1953 %
0.013148069381713867,0.3906 %
0.018038034439086914,0.5859 %
0.02278614044189453 ,0.7812 %
0.027543067932128906,0.9766 %
0.03276705741882324 ,1.1719 %
0.03764915466308594 ,1.3672 %
0.04251694679260254 ,1.5625 %
0.047303199768066406,1.7578 %
0.05215001106262207 ,1.9531 %
0.05700397491455078 ,2.1484 %
0.06187319755554199 ,2.3438 %
0.06672000885009766 ,2.5391 %
0.07134008407592773 ,2.7344 %
0.07609009742736816 ,2.9297 %
0.08107995986938477 ,3.1250 %
0.08600211143493652 ,3.3203 %
0.09075403213500977 ,3.5156 %
0.09558701515197754 ,3.7109 %
0.10017514228820801 ,3.9062 %
0.10478711128234863 ,4.1016 %
0.10944509506225586 ,4.2969 %
0.11413908004760742 ,4.4922 %
0.11882710456848145 ,4.6875 %
0.12369704246520996 ,4.8828 %
0.12891507148742676 ,5.0781 %
0.13426995277404785 ,5.2734 %
0.13930487632751465 ,5.4688 %
0.14454007148742676 ,5.6641 %
0.15026307106018066 ,5.8594 %
0.155609130859375   ,6.0547 %
0.16164922714233398 ,6.2500 %
0.16728496551513672 ,6.4453 %
0.17272329330444336 ,6.6406 %
0.17830705642700195 ,6.8359 %
0.1835019588470459  ,7.0312 %
0.18819808959960938 ,7.2266 %
0.19286108016967773 ,7.4219 %
0.19759821891784668 ,7.6172 %
0.2023921012878418  ,7.8125 %
0.20737504959106445 ,8.0078 %
0.21321797370910645 ,8.2031 %
0.21813392639160156 ,8.3984 %
0.22309184074401855 ,8.5938 %
0.2280559539794922  ,8.7891 %
0.23391199111938477 ,8.9844 %
0.23894715309143066 ,9.1797 %
0.24383211135864258 ,9.3750 %
0.24951386451721191 ,9.5703 %
0.2554030418395996  ,9.7656 %
0.26114821434020996 ,9.9609 %
0.2668600082397461  ,10.1562 %
0.27269506454467773 ,10.3516 %
0.27909016609191895 ,10.5469 %
0.2858541011810303  ,10.7422 %
0.29160022735595703 ,10.9375 %
0.2978830337524414  ,11.1328 %
0.3035261631011963  ,11.3281 %
0.3091869354248047  ,11.5234 %
0.3149831295013428  ,11.7188 %
0.320817232131958   ,11.9141 %
0.3265650272369385  ,12.1094 %
0.33245110511779785 ,12.3047 %
0.3382861614227295  ,12.5000 %
0.34393310546875    ,12.6953 %
0.3497300148010254  ,12.8906 %
0.3552281856536865  ,13.0859 %
0.36037111282348633 ,13.2812 %
0.3656020164489746  ,13.4766 %
0.37122511863708496 ,13.6719 %
0.3784060478210449  ,13.8672 %
0.38518500328063965 ,14.0625 %
0.3904612064361572  ,14.2578 %
0.39569091796875    ,14.4531 %
0.40081095695495605 ,14.6484 %
0.40644407272338867 ,14.8438 %
0.4124011993408203  ,15.0391 %
0.4191150665283203  ,15.2344 %
0.4257071018218994  ,15.4297 %
0.4317302703857422  ,15.6250 %
0.437453031539917   ,15.8203 %
0.4427449703216553  ,16.0156 %
0.4488871097564697  ,16.2109 %
0.4555089473724365  ,16.4062 %
0.46262598037719727 ,16.6016 %
0.46984124183654785 ,16.7969 %
0.47785210609436035 ,16.9922 %
0.48881983757019043 ,17.1875 %
0.4991490840911865  ,17.3828 %
0.5095369815826416  ,17.5781 %
0.5218040943145752  ,17.7734 %
0.5315501689910889  ,17.9688 %
0.5380568504333496  ,18.1641 %
0.5438840389251709  ,18.3594 %
0.5512790679931641  ,18.5547 %
0.5573480129241943  ,18.7500 %
0.5632948875427246  ,18.9453 %
0.5690760612487793  ,19.1406 %
0.5751659870147705  ,19.3359 %
0.5810520648956299  ,19.5312 %
0.5867371559143066  ,19.7266 %
0.5919551849365234  ,19.9219 %
0.5972170829772949  ,20.1172 %
0.6024110317230225  ,20.3125 %
0.6076221466064453  ,20.5078 %
0.6136691570281982  ,20.7031 %
0.6193299293518066  ,20.8984 %
0.626129150390625   ,21.0938 %
0.6321980953216553  ,21.2891 %
0.6387062072753906  ,21.4844 %
0.6443660259246826  ,21.6797 %
0.6504931449890137  ,21.8750 %
0.6558609008789062  ,22.0703 %
0.6613738536834717  ,22.2656 %
0.6668462753295898  ,22.4609 %
0.673346996307373   ,22.6562 %
0.6790750026702881  ,22.8516 %
0.6844460964202881  ,23.0469 %
0.6896219253540039  ,23.2422 %
0.6951920986175537  ,23.4375 %
0.7013909816741943  ,23.6328 %
0.707190990447998   ,23.8281 %
0.7135701179504395  ,24.0234 %
