Time Passed         ,Percentage
0.013036727905273438,0.000000000 %
0.016385793685913086,0.052083333 %
0.02013087272644043 ,0.104166667 %
0.023724794387817383,0.156250000 %
0.027112960815429688,0.208333333 %
0.030865907669067383,0.260416667 %
0.03415679931640625 ,0.312500000 %
0.03760576248168945 ,0.364583333 %
0.041088104248046875,0.416666667 %
0.044564008712768555,0.468750000 %
0.04791975021362305 ,0.520833333 %
0.05132293701171875 ,0.572916667 %
0.05481076240539551 ,0.625000000 %
0.058174848556518555,0.677083333 %
0.06176495552062988 ,0.729166667 %
0.06513786315917969 ,0.781250000 %
0.06844401359558105 ,0.833333333 %
0.07170796394348145 ,0.885416667 %
0.07496285438537598 ,0.937500000 %
0.07868695259094238 ,0.989583333 %
0.08209681510925293 ,1.041666667 %
0.08617877960205078 ,1.093750000 %
0.0900118350982666  ,1.145833333 %
0.09345173835754395 ,1.197916667 %
0.09678792953491211 ,1.250000000 %
0.10002899169921875 ,1.302083333 %
0.1036376953125     ,1.354166667 %
0.10695672035217285 ,1.406250000 %
0.11057686805725098 ,1.458333333 %
0.11388969421386719 ,1.510416667 %
0.11724495887756348 ,1.562500000 %
0.12064695358276367 ,1.614583333 %
0.12399482727050781 ,1.666666667 %
0.1274428367614746  ,1.718750000 %
0.13077092170715332 ,1.770833333 %
0.13466668128967285 ,1.822916667 %
0.1380598545074463  ,1.875000000 %
0.14145183563232422 ,1.927083333 %
0.14484882354736328 ,1.979166667 %
0.14815282821655273 ,2.031250000 %
0.15145397186279297 ,2.083333333 %
0.15490102767944336 ,2.135416667 %
0.15826678276062012 ,2.187500000 %
0.16172289848327637 ,2.239583333 %
0.16532278060913086 ,2.291666667 %
0.16868376731872559 ,2.343750000 %
0.17218470573425293 ,2.395833333 %
0.17584800720214844 ,2.447916667 %
0.179168701171875   ,2.500000000 %
0.18244099617004395 ,2.552083333 %
0.18570876121520996 ,2.604166667 %
0.18893790245056152 ,2.656250000 %
0.19244790077209473 ,2.708333333 %
0.19638991355895996 ,2.760416667 %
0.1997547149658203  ,2.812500000 %
0.2033388614654541  ,2.864583333 %
0.20679569244384766 ,2.916666667 %
0.2105698585510254  ,2.968750000 %
0.21466279029846191 ,3.020833333 %
0.21829485893249512 ,3.072916667 %
0.22192168235778809 ,3.125000000 %
0.22573590278625488 ,3.177083333 %
0.22920489311218262 ,3.229166667 %
0.23293399810791016 ,3.281250000 %
0.23650884628295898 ,3.333333333 %
0.24015188217163086 ,3.385416667 %
0.24408292770385742 ,3.437500000 %
0.24764180183410645 ,3.489583333 %
0.2512528896331787  ,3.541666667 %
0.25486183166503906 ,3.593750000 %
0.25851988792419434 ,3.645833333 %
