TimePassed          ,Percentage
0.011193990707397461,0.0000 %
0.028441905975341797,0.0488 %
0.052861928939819336,0.0977 %
0.08559894561767578 ,0.1465 %
0.1042168140411377  ,0.1953 %
0.12154793739318848 ,0.2441 %
0.13817596435546875 ,0.2930 %
0.15548491477966309 ,0.3418 %
0.17207002639770508 ,0.3906 %
0.1887807846069336  ,0.4395 %
0.20544910430908203 ,0.4883 %
0.2221229076385498  ,0.5371 %
0.23960208892822266 ,0.5859 %
0.2564518451690674  ,0.6348 %
0.2733650207519531  ,0.6836 %
0.2898838520050049  ,0.7324 %
0.30661988258361816 ,0.7812 %
0.32354283332824707 ,0.8301 %
0.3417360782623291  ,0.8789 %
0.35834193229675293 ,0.9277 %
0.3753359317779541  ,0.9766 %
0.3920149803161621  ,1.0254 %
0.40894079208374023 ,1.0742 %
0.4256610870361328  ,1.1230 %
0.4432380199432373  ,1.1719 %
0.4601297378540039  ,1.2207 %
0.4775118827819824  ,1.2695 %
0.494539737701416   ,1.3184 %
0.5122089385986328  ,1.3672 %
0.529026985168457   ,1.4160 %
0.545600175857544   ,1.4648 %
0.5623829364776611  ,1.5137 %
0.5786559581756592  ,1.5625 %
0.5954530239105225  ,1.6113 %
0.6122109889984131  ,1.6602 %
0.6287200450897217  ,1.7090 %
0.6454198360443115  ,1.7578 %
0.6631569862365723  ,1.8066 %
0.6807210445404053  ,1.8555 %
0.6982779502868652  ,1.9043 %
0.7160699367523193  ,1.9531 %
0.7336831092834473  ,2.0020 %
0.7509369850158691  ,2.0508 %
0.7684698104858398  ,2.0996 %
0.7854359149932861  ,2.1484 %
0.8023428916931152  ,2.1973 %
0.8191158771514893  ,2.2461 %
0.8356900215148926  ,2.2949 %
0.8522298336029053  ,2.3438 %
0.8699798583984375  ,2.3926 %
0.8872668743133545  ,2.4414 %
0.9049160480499268  ,2.4902 %
0.9220559597015381  ,2.5391 %
0.9400300979614258  ,2.5879 %
0.9577579498291016  ,2.6367 %
0.9747989177703857  ,2.6855 %
0.9919798374176025  ,2.7344 %
1.008598804473877   ,2.7832 %
1.0262260437011719  ,2.8320 %
1.043076992034912   ,2.8809 %
1.0603117942810059  ,2.9297 %
1.0776968002319336  ,2.9785 %
1.0948240756988525  ,3.0273 %
1.112083911895752   ,3.0762 %
1.1298179626464844  ,3.1250 %
1.1471729278564453  ,3.1738 %
1.1645338535308838  ,3.2227 %
1.181654930114746   ,3.2715 %
1.1982390880584717  ,3.3203 %
1.2149038314819336  ,3.3691 %
1.231820821762085   ,3.4180 %
1.2482740879058838  ,3.4668 %
1.2642629146575928  ,3.5156 %
1.2815430164337158  ,3.5645 %
1.2987160682678223  ,3.6133 %
1.3156161308288574  ,3.6621 %
1.3325960636138916  ,3.7109 %
1.349457025527954   ,3.7598 %
1.3665308952331543  ,3.8086 %
1.3839540481567383  ,3.8574 %
1.4011108875274658  ,3.9062 %
1.4178259372711182  ,3.9551 %
1.4348399639129639  ,4.0039 %
1.4519059658050537  ,4.0527 %
1.4683170318603516  ,4.1016 %
1.486588954925537   ,4.1504 %
1.5050230026245117  ,4.1992 %
1.5223588943481445  ,4.2480 %
1.5399069786071777  ,4.2969 %
1.5577538013458252  ,4.3457 %
1.5750081539154053  ,4.3945 %
1.5918018817901611  ,4.4434 %
1.6089868545532227  ,4.4922 %
1.625964879989624   ,4.5410 %
1.642509937286377   ,4.5898 %
1.659160852432251   ,4.6387 %
1.6763358116149902  ,4.6875 %
1.6935760974884033  ,4.7363 %
1.7107279300689697  ,4.7852 %
1.727705955505371   ,4.8340 %
1.746156930923462   ,4.8828 %
1.765552043914795   ,4.9316 %
1.7834088802337646  ,4.9805 %
1.8008677959442139  ,5.0293 %
1.8177061080932617  ,5.0781 %
1.8343141078948975  ,5.1270 %
1.8508179187774658  ,5.1758 %
1.8678529262542725  ,5.2246 %
1.8847687244415283  ,5.2734 %
1.9022319316864014  ,5.3223 %
1.9199309349060059  ,5.3711 %
1.9374959468841553  ,5.4199 %
1.9552688598632812  ,5.4688 %
1.9725210666656494  ,5.5176 %
1.9894218444824219  ,5.5664 %
2.0060958862304688  ,5.6152 %
2.022955894470215   ,5.6641 %
2.0396199226379395  ,5.7129 %
2.057325839996338   ,5.7617 %
2.074110984802246   ,5.8105 %
2.0906131267547607  ,5.8594 %
2.10775089263916    ,5.9082 %
2.1249570846557617  ,5.9570 %
2.142228126525879   ,6.0059 %
2.159031867980957   ,6.0547 %
2.1766958236694336  ,6.1035 %
2.194394826889038   ,6.1523 %
2.21110200881958    ,6.2012 %
2.227932929992676   ,6.2500 %
2.2445390224456787  ,6.2988 %
2.2613279819488525  ,6.3477 %
2.2776448726654053  ,6.3965 %
2.2944321632385254  ,6.4453 %
2.3119068145751953  ,6.4941 %
2.3290419578552246  ,6.5430 %
2.346395969390869   ,6.5918 %
2.3642210960388184  ,6.6406 %
2.3817460536956787  ,6.6895 %
2.3988900184631348  ,6.7383 %
2.415724754333496   ,6.7871 %
2.432900905609131   ,6.8359 %
2.4497878551483154  ,6.8848 %
2.4662721157073975  ,6.9336 %
2.482797861099243   ,6.9824 %
2.4993369579315186  ,7.0312 %
2.516874074935913   ,7.0801 %
2.5337507724761963  ,7.1289 %
2.552513837814331   ,7.1777 %
2.5702128410339355  ,7.2266 %
2.5871949195861816  ,7.2754 %
2.6048009395599365  ,7.3242 %
2.6218278408050537  ,7.3730 %
2.639003038406372   ,7.4219 %
2.6555678844451904  ,7.4707 %
2.6723620891571045  ,7.5195 %
2.6889288425445557  ,7.5684 %
