TimePassed         ,Percentage
0.04102969169616699,0.0000 %
0.08096480369567871,0.0244 %
0.11674070358276367,0.0488 %
0.1524369716644287 ,0.0732 %
0.19001483917236328,0.0977 %
0.2378697395324707 ,0.1221 %
0.28551578521728516,0.1465 %
0.321213960647583  ,0.1709 %
0.35912394523620605,0.1953 %
0.3973667621612549 ,0.2197 %
0.4329867362976074 ,0.2441 %
0.46865177154541016,0.2686 %
0.504868745803833  ,0.2930 %
0.5417919158935547 ,0.3174 %
0.5775606632232666 ,0.3418 %
0.6133837699890137 ,0.3662 %
0.6488876342773438 ,0.3906 %
0.684194803237915  ,0.4150 %
0.7194995880126953 ,0.4395 %
0.7553248405456543 ,0.4639 %
0.7905557155609131 ,0.4883 %
0.825664758682251  ,0.5127 %
0.8616058826446533 ,0.5371 %
0.8969526290893555 ,0.5615 %
0.9330308437347412 ,0.5859 %
0.9694006443023682 ,0.6104 %
1.0053975582122803 ,0.6348 %
1.0419666767120361 ,0.6592 %
1.0784857273101807 ,0.6836 %
1.1139986515045166 ,0.7080 %
1.150862693786621  ,0.7324 %
1.1874666213989258 ,0.7568 %
1.2248950004577637 ,0.7812 %
1.2614037990570068 ,0.8057 %
1.2969038486480713 ,0.8301 %
1.3319575786590576 ,0.8545 %
1.368391752243042  ,0.8789 %
1.4041657447814941 ,0.9033 %
1.4406709671020508 ,0.9277 %
1.4772067070007324 ,0.9521 %
1.5123348236083984 ,0.9766 %
1.548494815826416  ,1.0010 %
1.5858588218688965 ,1.0254 %
1.6231915950775146 ,1.0498 %
1.6602768898010254 ,1.0742 %
1.696335792541504  ,1.0986 %
1.7318196296691895 ,1.1230 %
1.7673187255859375 ,1.1475 %
1.8033547401428223 ,1.1719 %
1.8391716480255127 ,1.1963 %
1.8754887580871582 ,1.2207 %
1.9117228984832764 ,1.2451 %
1.9473469257354736 ,1.2695 %
1.9829256534576416 ,1.2939 %
2.0185139179229736 ,1.3184 %
2.054774761199951  ,1.3428 %
2.0925137996673584 ,1.3672 %
2.1286568641662598 ,1.3916 %
2.1643776893615723 ,1.4160 %
2.199925661087036  ,1.4404 %
2.2357687950134277 ,1.4648 %
2.2720797061920166 ,1.4893 %
2.308891773223877  ,1.5137 %
2.3452258110046387 ,1.5381 %
2.380241870880127  ,1.5625 %
2.415956974029541  ,1.5869 %
2.45169997215271   ,1.6113 %
2.4878180027008057 ,1.6357 %
